,date,rf_daily
652,2023-07-05,0.00021584971864629292
653,2023-07-06,0.00021664319783432572
654,2023-07-07,0.00021664319783432572
655,2023-07-10,0.00021743667639274978
656,2023-07-11,0.00021783341543585885
657,2023-07-12,0.00021703993719223875
658,2023-07-13,0.00021703993719223875
659,2023-07-14,0.00021783341543585885
660,2023-07-17,0.00021783341543585885
661,2023-07-18,0.00021783341543585885
662,2023-07-19,0.00021783341543585885
663,2023-07-20,0.00021783341543585885
664,2023-07-21,0.0002182301543215661
665,2023-07-24,0.00021862689304987166
666,2023-07-25,0.00021862689304987166
667,2023-07-26,0.00021862689304987166
668,2023-07-27,0.00021862689304987166
669,2023-07-28,0.00021902363162077572
670,2023-07-31,0.00022021384638907973
671,2023-08-01,0.0002198171082903796
672,2023-08-02,0.00021942037003427832
673,2023-08-03,0.0002198171082903796
674,2023-08-04,0.0002198171082903796
675,2023-08-07,0.00022061058433037875
676,2023-08-08,0.0002210073221142769
677,2023-08-09,0.00022021384638907973
678,2023-08-10,0.0002198171082903796
679,2023-08-11,0.0002198171082903796
680,2023-08-14,0.00022061058433037875
681,2023-08-15,0.00022061058433037875
682,2023-08-16,0.00022061058433037875
683,2023-08-17,0.00022061058433037875
684,2023-08-18,0.00022021384638907973
685,2023-08-21,0.0002210073221142769
686,2023-08-22,0.0002210073221142769
687,2023-08-23,0.0002210073221142769
688,2023-08-24,0.00022140405974077425
689,2023-08-25,0.0002225942716758626
690,2023-08-28,0.00022140405974077425
691,2023-08-29,0.00022061058433037875
692,2023-08-30,0.00022061058433037875
693,2023-08-31,0.00022061058433037875
694,2023-09-01,0.00021942037003427832
695,2023-09-04,
696,2023-09-05,0.00022021384638907973
697,2023-09-06,0.00022021384638907973
698,2023-09-07,0.00021942037003427832
699,2023-09-08,0.00022021384638907973
700,2023-09-11,0.00022021384638907973
701,2023-09-12,0.00022061058433037875
702,2023-09-13,0.00022021384638907973
703,2023-09-14,0.00022021384638907973
704,2023-09-15,0.00022061058433037875
705,2023-09-18,0.00022021384638907973
706,2023-09-19,0.0002198171082903796
707,2023-09-20,0.00022061058433037875
708,2023-09-21,0.0002210073221142769
709,2023-09-22,0.00022061058433037875
710,2023-09-25,0.00022140405974077425
711,2023-09-26,0.00022140405974077425
712,2023-09-27,0.00022140405974077425
713,2023-09-28,0.00022061058433037875
714,2023-09-29,0.00022021384638907973
715,2023-10-02,0.00022299100867275793
716,2023-10-03,0.00022299100867275793
717,2023-10-04,0.0002225942716758626
718,2023-10-05,0.0002225942716758626
